Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages",Echelon
Barbados,BRB,2004,8.193516,Medium
Barbados,BRB,2005,10.761586,High
Barbados,BRB,2006,12.942567,High
Barbados,BRB,2007,9.210003,Medium
Barbados,BRB,2008,8.4361725,Medium
Barbados,BRB,2009,6.939587,Medium
Barbados,BRB,2010,11.284586,High
Barbados,BRB,2011,9.800843,Medium
Barbados,BRB,2012,7.965315,Medium
Barbados,BRB,2013,8.668485,Medium
Barbados,BRB,2014,9.009236,Medium
Barbados,BRB,2015,11.147751,High
Barbados,BRB,2016,7.8952374,Medium
Barbados,BRB,2017,10.745486,High
Barbados,BRB,2018,10.011137,High
Barbados,BRB,2019,17.131874,High
Barbados,BRB,2020,14.606706,High
Barbados,BRB,2021,11.379821,High
Belarus,BLR,1990,4.8712544,Low
Belarus,BLR,1991,4.44652,Low
Belarus,BLR,1992,5.670153,Medium
Belarus,BLR,1993,7.2134075,Medium
Belarus,BLR,1994,7.913783,Medium
Belarus,BLR,1995,9.176332,Medium
Belarus,BLR,1996,9.29434,Medium
Belarus,BLR,1997,9.816436,Medium
Belarus,BLR,1998,10.002446,High
Belarus,BLR,1999,9.448712,Medium
Belarus,BLR,2000,9.87668,Medium
Belarus,BLR,2001,9.498875,Medium
Belarus,BLR,2002,9.757891,Medium
Belarus,BLR,2007,6.604935,Medium
Belarus,BLR,2008,5.639659,Medium
Belarus,BLR,2009,4.9909263,Low
Belarus,BLR,2010,4.12067,Low
Belarus,BLR,2011,3.842595,Low
Belarus,BLR,2012,3.5074148,Low
Belarus,BLR,2013,3.4361296,Low
Belarus,BLR,2014,3.5074184,Low
Belarus,BLR,2015,3.3606138,Low
Belarus,BLR,2016,3.1623044,Low
Belarus,BLR,2017,2.4722195,Low
Belarus,BLR,2018,2.3309605,Low
Belarus,BLR,2019,2.3258288,Low
Belgium,BEL,1990,1.0409307,Very Low
Belgium,BEL,1991,1.023646,Very Low
Belgium,BEL,1992,1.2075212,Very Low
Belgium,BEL,1993,1.4407884,Very Low
Belgium,BEL,1994,1.1917552,Very Low
Belgium,BEL,1995,1.4066094,Very Low
Belgium,BEL,1996,1.1853925,Very Low
Belgium,BEL,1997,1.427886,Very Low
Belgium,BEL,2000,2.0654027,Low
Belgium,BEL,2001,2.7354062,Low
Belgium,BEL,2002,3.0804682,Low
Belgium,BEL,2021,1.0765264,Very Low
Bhutan,BTN,1990,3.5813925,Low
Bhutan,BTN,1991,2.1137552,Low
Bhutan,BTN,1992,4.9455624,Low
Bhutan,BTN,1993,3.6479673,Low
Bhutan,BTN,1994,3.8368604,Low
Bhutan,BTN,1995,3.0329683,Low
Bhutan,BTN,1996,2.232583,Low
Bhutan,BTN,1997,1.2800235,Very Low
Bhutan,BTN,1998,1.9743602,Very Low
Bhutan,BTN,1999,2.2767475,Low
Bhutan,BTN,2000,3.0653586,Low
Bhutan,BTN,2001,3.14969,Low
Bhutan,BTN,2002,3.069229,Low
Bhutan,BTN,2003,0.7878644,Undefined
Bhutan,BTN,2004,2.3077242,Low
Bhutan,BTN,2005,1.6583173,Very Low
Bhutan,BTN,2006,1.3367802,Very Low
Bhutan,BTN,2007,2.0539498,Low
Bhutan,BTN,2008,2.6096904,Low
Bhutan,BTN,2009,2.2933233,Low
Bhutan,BTN,2010,2.267842,Low
Bhutan,BTN,2011,4.485999,Low
Bhutan,BTN,2012,4.576053,Low
Bhutan,BTN,2013,3.2926848,Low
Bhutan,BTN,2015,1.6144786,Very Low
Bhutan,BTN,2016,1.2003818,Very Low
Bhutan,BTN,2017,1.7193004,Very Low
Bhutan,BTN,2018,1.1809528,Very Low
Bhutan,BTN,2019,1.042401,Very Low
Bhutan,BTN,2020,2.4595277,Low
Bolivia,BOL,2015,4.896265,Low
Bolivia,BOL,2016,5.7000723,Medium
Bolivia,BOL,2017,6.5322704,Medium
Bolivia,BOL,2018,4.945332,Low
Bolivia,BOL,2019,4.2199774,Low
Bolivia,BOL,2020,3.4935853,Low
Bolivia,BOL,2021,3.4935303,Low
Bosnia and Herzegovina,BIH,1990,1.6242758,Very Low
Bosnia and Herzegovina,BIH,2000,2.3687894,Low
Bosnia and Herzegovina,BIH,2001,1.9547397,Very Low
Bosnia and Herzegovina,BIH,2002,2.1436687,Low
Bosnia and Herzegovina,BIH,2004,1.6413782,Very Low
Bosnia and Herzegovina,BIH,2007,1.6467577,Very Low
Bosnia and Herzegovina,BIH,2008,1.6736863,Very Low
Bosnia and Herzegovina,BIH,2009,1.8309587,Very Low
Bosnia and Herzegovina,BIH,2010,1.4693967,Very Low
Bosnia and Herzegovina,BIH,2011,1.362492,Very Low
Bosnia and Herzegovina,BIH,2012,1.7145778,Very Low
Bosnia and Herzegovina,BIH,2013,1.2715758,Very Low
Bosnia and Herzegovina,BIH,2014,1.4001416,Very Low
Bosnia and Herzegovina,BIH,2015,1.6173314,Very Low
Bosnia and Herzegovina,BIH,2016,1.2927371,Very Low
Bosnia and Herzegovina,BIH,2017,1.2209207,Very Low
Bosnia and Herzegovina,BIH,2018,1.1470153,Very Low
Bosnia and Herzegovina,BIH,2019,1.2497354,Very Low
Bosnia and Herzegovina,BIH,2020,1.2958022,Very Low
Bosnia and Herzegovina,BIH,2021,0.9783111,Undefined
Botswana,BWA,2001,12.089016,High
Botswana,BWA,2002,14.205095,High
Botswana,BWA,2003,17.078451,High
Botswana,BWA,2004,13.931584,High
Botswana,BWA,2005,15.373992,High
Botswana,BWA,2006,13.532407,High
Botswana,BWA,2007,14.235042,High
Botswana,BWA,2008,13.998765,High
Botswana,BWA,2009,14.104462,High
Botswana,BWA,2010,14.486071,High
Botswana,BWA,2020,8.678912,Medium
Botswana,BWA,2021,10.546963,High
Brazil,BRA,1990,19.442558,High
Brazil,BRA,1991,18.357327,High
Brazil,BRA,1992,16.656002,High
Brazil,BRA,1993,17.680256,High
Brazil,BRA,1994,18.543499,High
Brazil,BRA,1995,20.793213,Very High
Brazil,BRA,1996,23.424883,Very High
Brazil,BRA,1997,24.0331,Very High
Brazil,BRA,1998,24.526455,Very High
Brazil,BRA,1999,24.73625,Very High
Brazil,BRA,2000,25.79976,Very High
Brazil,BRA,2001,26.90898,Very High
Brazil,BRA,2002,27.543724,Very High
Brazil,BRA,2003,27.960468,Very High
Brazil,BRA,2004,26.19828,Very High
Brazil,BRA,2005,25.478415,Very High
Brazil,BRA,2006,26.037931,Very High
Brazil,BRA,2007,25.018942,Very High
Brazil,BRA,2008,26.020863,Very High
Brazil,BRA,2009,26.455711,Very High
Brazil,BRA,2010,26.630033,Very High
Brazil,BRA,2011,26.355639,Very High
Brazil,BRA,2012,28.197144,Very High
Brazil,BRA,2013,28.179903,Very High
Brazil,BRA,2014,29.358646,Very High
Brazil,BRA,2015,28.356405,Very High
Brazil,BRA,2016,29.589155,Very High
Brazil,BRA,2017,30.593037,Very High
Brazil,BRA,2018,26.636013,Very High
Brazil,BRA,2019,20.810465,Very High
Brazil,BRA,2020,22.384066,Very High
Bulgaria,BGR,1990,2.5890255,Low
Bulgaria,BGR,1991,4.29964,Low
Bulgaria,BGR,1992,5.329617,Medium
Bulgaria,BGR,1993,5.690042,Medium
Bulgaria,BGR,1994,5.755419,Medium
Bulgaria,BGR,1995,5.827135,Medium
Bulgaria,BGR,1996,5.213432,Medium
Bulgaria,BGR,1997,4.784249,Low
Bulgaria,BGR,1998,4.6266346,Low
Bulgaria,BGR,1999,4.006223,Low
Bulgaria,BGR,2000,4.099934,Low
Bulgaria,BGR,2001,3.833296,Low
Bulgaria,BGR,2002,3.1975684,Low
Bulgaria,BGR,2003,3.1195772,Low
Bulgaria,BGR,2004,3.1022274,Low
Bulgaria,BGR,2005,2.546313,Low
Bulgaria,BGR,2006,2.3950443,Low
Bulgaria,BGR,2007,2.2930326,Low
Bulgaria,BGR,2008,2.2410676,Low
Bulgaria,BGR,2009,1.9647046,Very Low
Bulgaria,BGR,2010,1.9493505,Very Low
Bulgaria,BGR,2011,1.6969084,Very Low
Bulgaria,BGR,2012,1.8829263,Very Low
Bulgaria,BGR,2013,1.4667951,Very Low
Bulgaria,BGR,2014,1.5192329,Very Low
Bulgaria,BGR,2015,1.7238423,Very Low
Bulgaria,BGR,2016,1.0902605,Very Low
Bulgaria,BGR,2017,1.4340553,Very Low
Bulgaria,BGR,2018,1.2926013,Very Low
Bulgaria,BGR,2019,1.1768823,Very Low
Bulgaria,BGR,2020,0.9886556,Undefined
Bulgaria,BGR,2021,1.2779799,Very Low
Burundi,BDI,2012,5.1043954,Medium
Burundi,BDI,2013,5.123366,Medium
Burundi,BDI,2014,5.3740325,Medium
Burundi,BDI,2015,4.2975073,Low
Burundi,BDI,2016,5.82391,Medium
Cambodia,KHM,1992,4.414391,Low
Cambodia,KHM,1993,5.847582,Medium
Cambodia,KHM,1994,2.8487208,Low
Cambodia,KHM,1995,3.6356883,Low
Cambodia,KHM,1996,4.8468103,Low
Cambodia,KHM,1997,2.7730227,Low
Cambodia,KHM,1998,6.7957387,Medium
Cambodia,KHM,1999,4.8827605,Low
Cambodia,KHM,2000,4.711672,Low
Cambodia,KHM,2001,3.2987006,Low
Cambodia,KHM,2002,3.3832788,Low
Cambodia,KHM,2003,3.980384,Low
Cambodia,KHM,2004,3.9258256,Low
Cambodia,KHM,2005,3.3820043,Low
Cambodia,KHM,2006,2.967848,Low
Cambodia,KHM,2007,2.8655195,Low
Cambodia,KHM,2008,2.388143,Low
Cambodia,KHM,2009,2.338274,Low
Cambodia,KHM,2010,2.3044472,Low
Cambodia,KHM,2011,1.8389057,Very Low
Cameroon,CMR,2000,3.041428,Low
Cameroon,CMR,2001,4.873089,Low
Cameroon,CMR,2002,6.478559,Medium
Cameroon,CMR,2003,6.126819,Medium
Cameroon,CMR,2008,4.1326976,Low
Cameroon,CMR,2009,6.609979,Medium
Cameroon,CMR,2010,5.025647,Medium
Cameroon,CMR,2011,4.0833545,Low
Cameroon,CMR,2012,4.1839643,Low
Cameroon,CMR,2015,3.741421,Low
Cameroon,CMR,2016,3.3190465,Low
Cameroon,CMR,2017,4.1159043,Low
Cameroon,CMR,2020,4.5373755,Low
Canada,CAN,1990,2.3755112,Low
Canada,CAN,1991,2.6913424,Low
Canada,CAN,1992,2.5857532,Low
Canada,CAN,1993,2.1836066,Low
Canada,CAN,1994,2.0565064,Low
Canada,CAN,1995,2.0041366,Low
Canada,CAN,1996,2.142337,Low
Canada,CAN,1997,1.9609975,Very Low
Canada,CAN,1998,1.8543822,Very Low
Canada,CAN,1999,1.7730393,Very Low
Canada,CAN,2000,1.7794689,Very Low
Canada,CAN,2001,1.7869376,Very Low
Canada,CAN,2002,1.8580953,Very Low
Canada,CAN,2003,1.736273,Very Low
Canada,CAN,2004,1.9585313,Very Low
Canada,CAN,2005,2.061093,Low
Canada,CAN,2006,1.8689367,Very Low
Canada,CAN,2007,1.8166627,Very Low
Canada,CAN,2008,1.8483654,Very Low
Canada,CAN,2009,1.815805,Very Low
Canada,CAN,2010,1.6400001,Very Low
Canada,CAN,2011,1.774293,Very Low
Canada,CAN,2012,1.582503,Very Low
Canada,CAN,2013,1.4516441,Very Low
Canada,CAN,2014,1.4828578,Very Low
Canada,CAN,2015,1.7099458,Very Low
Canada,CAN,2016,1.7057317,Very Low
Canada,CAN,2017,1.8192091,Very Low
Canada,CAN,2018,1.7874861,Very Low
Canada,CAN,2019,1.8362274,Very Low
Canada,CAN,2020,2.0032356,Low
Canada,CAN,2021,2.0652595,Low
Cape Verde,CPV,2003,3.1244206,Low
Cape Verde,CPV,2004,4.3158107,Low
Cape Verde,CPV,2005,8.928073,Medium
Cape Verde,CPV,2006,7.015659,Medium
Cape Verde,CPV,2013,10.001111,High
Cape Verde,CPV,2014,11.903105,High
Cape Verde,CPV,2015,8.330828,Medium
Cape Verde,CPV,2016,11.103261,High
Cape Verde,CPV,2017,6.7262115,Medium
Cape Verde,CPV,2018,5.4271564,Medium
Cape Verde,CPV,2019,5.718935,Medium
Cape Verde,CPV,2020,6.1787724,Medium
Chile,CHL,2003,3.2347336,Low
Chile,CHL,2005,3.5609825,Low
Chile,CHL,2006,3.6119704,Low
Chile,CHL,2007,3.734343,Low
Chile,CHL,2008,3.529102,Low
Chile,CHL,2009,3.742549,Low
Chile,CHL,2010,3.181574,Low
Chile,CHL,2011,3.7033644,Low
Chile,CHL,2012,2.5026278,Low
Chile,CHL,2013,3.175342,Low
Chile,CHL,2014,2.4763799,Low
Chile,CHL,2015,2.3446956,Low
Chile,CHL,2016,3.428468,Low
Chile,CHL,2017,4.240938,Low
Chile,CHL,2018,4.4114227,Low
Chile,CHL,2019,3.9444344,Low
Chile,CHL,2020,4.797849,Low
Chile,CHL,2021,3.6320386,Low
China,CHN,1995,2.2457106,Low
China,CHN,1996,2.0687962,Low
China,CHN,1997,2.1061537,Low
China,CHN,2002,2.0513282,Low
China,CHN,2003,1.8925831,Very Low
China,CHN,2004,1.9055121,Very Low
China,CHN,2005,1.5917081,Very Low
China,CHN,2006,1.3687598,Very Low
China,CHN,2007,1.2197381,Very Low
China,CHN,2008,1.1134691,Very Low
China,CHN,2009,1.0952669,Very Low
China,CHN,2010,0.9946659,Undefined
China,CHN,2011,0.8853467,Undefined
China,CHN,2012,0.82586884,Undefined
China,CHN,2013,0.77319944,Undefined
China,CHN,2014,0.72791475,Undefined
China,CHN,2015,0.66010606,Undefined
China,CHN,2016,0.615883,Undefined
China,CHN,2017,0.5665558,Undefined
China,CHN,2018,0.53102547,Undefined
China,CHN,2019,0.5189666,Undefined
China,CHN,2020,0.50227034,Undefined
Colombia,COL,1990,74.628716,Very High
Colombia,COL,1991,85.42758,Very High
Colombia,COL,1992,83.043015,Very High
Colombia,COL,1993,82.16443,Very High
Colombia,COL,1994,76.72092,Very High
Colombia,COL,1995,62.054317,Very High
Colombia,COL,1996,63.741085,Very High
Colombia,COL,1997,62.211826,Very High
Colombia,COL,1998,60.849537,Very High
Colombia,COL,1999,63.12033,Very High
Colombia,COL,2000,67.6754,Very High
Colombia,COL,2001,69.88325,Very High
Colombia,COL,2002,70.170975,Very High
Colombia,COL,2003,57.29256,Very High
Colombia,COL,2004,48.525425,Very High
Colombia,COL,2005,42.895775,Very High
Colombia,COL,2006,40.86465,Very High
Colombia,COL,2007,39.712208,Very High
Colombia,COL,2008,36.836437,Very High
Colombia,COL,2009,35.693077,Very High
Colombia,COL,2010,34.494293,Very High
Colombia,COL,2011,35.59345,Very High
Colombia,COL,2012,35.90898,Very High
Colombia,COL,2013,33.35357,Very High
Colombia,COL,2014,28.585234,Very High
Colombia,COL,2015,27.128765,Very High
Colombia,COL,2016,26.040422,Very High
Colombia,COL,2017,25.434488,Very High
Colombia,COL,2018,26.231325,Very High
Colombia,COL,2019,25.753473,Very High
Colombia,COL,2020,24.242764,Very High
Colombia,COL,2021,27.484365,Very High
Costa Rica,CRI,1990,4.4011664,Low
Costa Rica,CRI,1991,4.0748105,Low
Costa Rica,CRI,1992,4.8164635,Low
Costa Rica,CRI,1993,4.6984587,Low
Costa Rica,CRI,1994,5.216167,Medium
Costa Rica,CRI,1995,5.1499414,Medium
Costa Rica,CRI,1996,5.1692533,Medium
Costa Rica,CRI,1997,5.615842,Medium
Costa Rica,CRI,1998,5.861693,Medium
Costa Rica,CRI,1999,6.279749,Medium
Costa Rica,CRI,2000,6.257551,Medium
Costa Rica,CRI,2001,6.340634,Medium
Costa Rica,CRI,2002,6.2581515,Medium
Costa Rica,CRI,2003,7.1622796,Medium
Costa Rica,CRI,2004,6.5838985,Medium
Costa Rica,CRI,2005,7.7620196,Medium
Costa Rica,CRI,2006,8.017045,Medium
Costa Rica,CRI,2007,8.310775,Medium
Costa Rica,CRI,2008,11.372923,High
Costa Rica,CRI,2009,11.505267,High
Costa Rica,CRI,2010,11.40137,High
Costa Rica,CRI,2011,10.128365,High
Costa Rica,CRI,2012,8.592673,Medium
Costa Rica,CRI,2013,8.577627,Medium
Costa Rica,CRI,2014,9.846647,Medium
Costa Rica,CRI,2015,11.378396,High
Costa Rica,CRI,2016,11.688089,High
Costa Rica,CRI,2017,12.074873,High
Costa Rica,CRI,2018,11.605453,High
Costa Rica,CRI,2019,11.0728,High
Costa Rica,CRI,2020,11.126065,High
Costa Rica,CRI,2021,11.40871,High
Croatia,HRV,1990,2.8110023,Low
Croatia,HRV,1991,9.020497,Medium
Croatia,HRV,1992,8.065321,Medium
Croatia,HRV,1993,4.5488667,Low
Croatia,HRV,1994,2.9671586,Low
